ts,bot_variant,exchange,trading_pair,state,regime,mid,equity_quote,base_pct,target_base_pct,spread_pct,spread_floor_pct,net_edge_pct,skew,adverse_drift_30s,soft_pause_edge,base_balance,quote_balance,market_spread_pct,market_spread_bps,best_bid_size,best_ask_size,turnover_today_x,cancel_per_min,orders_active,fills_count_today,fees_paid_today_quote,daily_loss_pct,drawdown_pct,risk_reasons,fee_source,maker_fee_pct,taker_fee_pct
2026-02-24T00:57:00.474023+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64931.0850000000,7898.621700000000027032994593,0.1644111782185998378158138782,0.50,0.0001,-0.01987439397233328753117558674,-0.001876152606750808789740859877,0.0030,0.0004161526067508087897408598767,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.540094393925498087703293423E-7,0.001540094393925498087703293423,1.125351,0.344129,0.09582328794630080807764341658,0,96,96,0.756871901538000000000,0.0001505858753866690487517097792,0.0001687351447724124320842673406,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T00:58:00.671035+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64925.3550000000,7898.507100000000027030609001,0.1643990546010903785332803507,0.50,0.0001,-0.01987439397233328753117558674,-0.001474940457271947974555323089,0.0030,0.00001494045727194797455532308854,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.540230315259731733465300267E-7,0.001540230315259731733465300267,1.08537,0.018582,0.1117916997274079802977200939,0,112,112,0.882987534018000000000,0.0001650925510081487671334733892,0.0001832415570686753463504767027,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T00:59:00.891735+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64940.5050000000,7898.810100000000027036916456,0.1644311084273313549582874913,0.50,0.0001,-0.02087312777462070832422590868,-0.001489718626965558036128457456,0.0030,0.00002971862696555803612845745621,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.539870994227716584587692997E-7,0.001539870994227716584587692997,0.363523,0.326074,0.1277590176679902706542837525,0,128,128,1.009144219122000000000,0.0001267372044696814488989675458,0.0001448869067565665939712320906,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T01:00:00.110740+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64941.0650000000,7898.821300000000027037149603,0.1644322932081018243305958943,0.50,0.0001,-0.02087312777462070832422590868,-0.001538526576588471390112102847,0.0030,0.00007852657658847139011210284703,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.539857715607220177248402070E-7,0.001539857715607220177248402070,0.265883,0.629742,0.1437290590485950095002118770,0,144,144,1.135290153042000000000,0.0001253194490860813368058108754,0.0001434691771080662044443425020,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T01:01:00.308537+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64889.5650000000,7897.791300000000027015708420,0.1643233216355058689100074696,0.50,0.0001,-0.02093215439067301515433927834,-0.001760882333978004161050157917,0.0030,0.0003008823339780041610501579170,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.541079833097971915823445572E-7,0.001541079833097971915823445572,0.362755,0.199889,0.1597151303538496890497958091,0,160,160,1.261396766987000000000,0.0002557023102564487882300385756,0.0002738496715683698841493653570,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T01:02:00.538752+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64810.9050000000,7896.218100000000026982959617,0.1641568259113815539813322295,0.50,0.0001,-0.02093215439067301515433927834,-0.002678985882340431319122259276,0.0030,0.001218985882340431319122259276,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.542950218022723182155842447E-7,0.001542950218022723182155842447,0.096055,1.333199,0.1757199561398892965302662447,0,176,176,1.387523098203000000000,0.0004548463075314216761723635893,0.0004729900539809424559085320576,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T01:03:00.764513+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64783.7350000000,7895.674700000000026971647832,0.1640993011021591381602409827,0.50,0.0001,-0.02078236977327727841060048274,-0.001767235804405755262686226986,0.0030,0.0003072358044057552626862269862,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.543597324235782330240761821E-7,0.001543597324235782330240761821,0.479515,0.279759,0.1917025760317861113033779913,0,192,192,1.513621179499000000000,0.0005236327606964485432635531964,0.0005417752585340774263470848561,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T01:04:00.976884+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64769.7950000000,7895.395900000000026965844141,0.1640697840117175153359395084,0.50,0.0001,-0.02078236977327727841060048274,-0.001685362913399129528029087869,0.0030,0.0002253629133991295280290878691,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.543929543084087266294420107E-7,0.001543929543084087266294420107,1.876731,0.010961,0.2076776834971632004418924649,0,208,208,1.639697530805000000000,0.0005589247429239227621539169550,0.0005770666001413906942128716139,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T01:05:00.213206+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64786.7450000000,7895.734900000000026972900996,0.1641056743179156157518022660,0.50,0.0001,-0.02086074292524297855497523410,-0.001821671549001133078080243098,0.0030,0.0003616715490011330780802430976,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.543525608517606494970537569E-7,0.001543525608517606494970537569,1.106034,0.162974,0.2164492032817616500981735176,0,218,218,1.709025528429000000000,0.0005160123255095979407628362352,0.0005341549616733878326400534597,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T01:06:00.432596+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64762.2750000000,7895.245500000000026962713312,0.1640538600097995714685979197,0.50,0.0001,-0.02086074292524297855497523410,-0.001466485299100836441451530380,0.0030,0.000006485299100836441451530380036,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.544108819524947201129052369E-7,0.001544108819524947201129052369,0.927699,0.374828,0.2324328111883284685362831020,0,234,234,1.835114106587000000000,0.0005779631723608385531191634010,0.0005961046839926816392882458185,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T01:07:00.663914+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64739.7350000000,7894.794700000000026953329152,0.1640061267204326443767838618,0.50,0.0001,-0.02070710901972116226750344835,-0.001618610026362160126474121508,0.0030,0.0001586100263621601264741215078,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.544646421552389734063631864E-7,0.001544646421552389734063631864,0.15521,0.363796,0.2484180580689450978762381641,0,250,250,1.961209568227000000000,0.0006350278265507430648687185315,0.0006531683023448223177455509060,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T01:08:00.920039+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64786.1350000000,7895.722700000000026972647033,0.1641043827438367386618475647,0.50,0.0001,-0.02070710901972116226750344835,-0.001729574759712160237954535892,0.0030,0.0002695747597121602379545358925,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.543540141729399353735178059E-7,0.001543540141729399353735178059,1.029286,0.10419,0.2643592674579364334653661012,0,266,266,2.087307469023000000000,0.0005175566661953052057214532345,0.0005356992743262186140889866734,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T01:09:00.244493+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64766.5450000000,7895.330900000000026964491057,0.1640629020374560897176099867,0.50,0.0001,-0.02072255086760914071856142563,-0.001499219316347097434755617723,0.0030,0.00003921931634709743475561772315,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.544007017820697398633816270E-7,0.001544007017820697398633816270,0.0019,2.14978,0.2803458348015534082859804197,0,282,282,2.213423132195000000000,0.0005671527875608876984088438997,0.0005852944954228661691457128160,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T01:10:00.760514+00:00,a,bitget_paper_trade,BTC-USDT,running,high_vol_shock,64628.9550000000,7892.579100000000026907207712,0.1637714470292733616696442573,0.40,0.0001,-0.02072255086760914071856142563,-0.002357707074950502051995744123,0.0030,0.0008977070749505020519957441233,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.547294088230267687292793145E-7,0.001547294088230267687292793145,0.112346,0.189337,0.2932269192747146483600123027,0,296,296,2.314316654625000000000,0.0009154902218993509535828143158,0.0009336256067392386602255978991,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T01:11:00.185534+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64621.2350000000,7892.424700000000026903993616,0.1637550878375817792089074703,0.50,0.0001,-0.02069167874060915838538292939,-0.001559977133712838897914602349,0.0030,0.00009997713371283889791460234908,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.547478936297023726024425253E-7,0.001547478936297023726024425253,0.216143,0.224001,0.3080048840283518944074865315,0,312,312,2.430905354426000000000,0.0009350349925446953560099024569,0.0009531700226078511729891469838,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T01:12:00.491884+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64551.7250000000,7891.034500000000026875054265,0.1636077627084256218215858471,0.50,0.0001,-0.02069167874060915838538292939,-0.001594292858648092224342803355,0.0030,0.0001342928586480922243428033549,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.549145278456927371034623784E-7,0.001549145278456927371034623784,0.18035,0.17914,0.3240327165947633344261266578,0,328,328,2.556953345778000000000,0.001111013879534059269572971595,0.001129145715227962023014314592,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T01:13:00.323112+00:00,a,bitget_paper_trade,BTC-USDT,running,high_vol_shock,64424.8450000000,7888.496900000000026822229854,0.1633387090511501655582981158,0.40,0.0001,-0.01726721592528274042987710035,-0.004179945672293372711735990503,0.0030,0.002719945672293372711735990503,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.552196206292774161893598657E-7,0.001552196206292774161893598657,0.184085,0.243866,0.3381201713796705670164949986,0,342,342,2.667259923756000000000,0.001432236742161170380965320990,0.001450362747016764564392436594,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
